Movement,Radar,Shields,Energy,TankState,SurvivalTime
1,-1,-1,1,0.25,0.061946902654867256
1,-1,-1,1,0.25,0.06371681415929203
-1,-1,-1,1,0.25,0.06548672566371681
1,1,-1,1,0.25,0.06725663716814159
-1,-1,-1,1,0.25,0.06902654867256637
1,1,-1,1,0.25,0.07079646017699115
1,1,-1,1,0.25,0.07256637168141593
1,1,-1,1,1,0.0743362831858407
1,1,-1,1,1,0.07610619469026549
-1,1,-1,1,1,0.07787610619469026
1,1,-1,1,1,0.07964601769911504
1,1,-1,1,1,0.08141592920353982
-1,1,-1,1,1,0.0831858407079646
-1,1,-1,-1,0.5,0.08495575221238938
-1,1,-1,-1,0.5,0.08672566371681416
-1,1,1,-1,0.5,0.08849557522123894
1,1,1,-1,0.75,0.09026548672566372
-1,1,-1,-1,0.25,0.0920353982300885
1,1,-1,-1,0.25,0.09380530973451327
1,-1,-1,-1,0.75,0.09557522123893805
1,-1,-1,-1,0.25,0.09734513274336283
1,-1,-1,-1,0.75,0.09911504424778761
1,-1,-1,-1,0.25,0.10088495575221239
1,-1,-1,-1,0.75,0.10265486725663717
1,-1,-1,-1,0.25,0.10442477876106195
1,-1,-1,-1,0.75,0.10619469026548672
1,-1,-1,-1,0.25,0.1079646017699115
1,-1,-1,-1,0.75,0.10973451327433628
1,-1,-1,-1,0.75,0.11150442477876106
1,-1,-1,-1,0.25,0.11327433628318584
1,-1,-1,-1,0.75,0.11504424778761062
1,-1,-1,-1,0.75,0.1168141592920354
1,-1,-1,-1,0.75,0.11858407079646018
1,-1,-1,-1,0.75,0.12035398230088495
1,-1,-1,-1,0.75,0.12212389380530973
1,-1,-1,-1,0.25,0.12389380530973451
1,-1,-1,-1,0.75,0.1256637168141593
1,-1,-1,-1,0.25,0.12743362831858407
-1,-1,-1,-1,0.25,0.12920353982300886
1,1,-1,-1,0.75,0.13097345132743363
1,1,-1,-1,0.75,0.13274336283185842
1,1,-1,-1,0.75,0.13451327433628318
1,1,-1,-1,0.75,0.13628318584070798
1,1,-1,-1,0.75,0.13805309734513274
1,1,-1,-1,0.75,0.13982300884955753
1,1,-1,-1,0.75,0.1415929203539823
-1,1,-1,-1,0.25,0.1433628318584071
1,1,-1,-1,0.25,0.14513274336283186
-1,-1,-1,-1,0.25,0.14690265486725665
1,1,-1,-1,0.25,0.1486725663716814
1,1,-1,-1,0.25,0.1504424778761062
1,-1,-1,-1,0.25,0.15221238938053097
1,-1,-1,-1,0.25,0.15398230088495576
1,-1,-1,-1,0.25,0.15575221238938053
1,-1,-1,-1,0.25,0.15752212389380532
1,-1,-1,-1,0.25,0.1592920353982301
1,-1,-1,-1,0.25,0.16106194690265488
-1,-1,-1,-1,0.25,0.16283185840707964
1,-1,-1,-1,0.25,0.16460176991150444
-1,-1,-1,-1,0.25,0.1663716814159292
1,-1,-1,-1,0.25,0.168141592920354
1,-1,-1,-1,0.25,0.16991150442477876
-1,-1,-1,-1,0.25,0.17168141592920355
1,-1,-1,-1,0.25,0.17345132743362832
1,-1,-1,-1,0.25,0.1752212389380531
1,-1,-1,-1,0.25,0.17699115044247787
1,-1,-1,-1,0.25,0.17876106194690267
1,-1,-1,-1,0.25,0.18053097345132743
1,-1,-1,-1,0.25,0.18230088495575222
1,-1,-1,-1,0.25,0.184070796460177
1,-1,-1,-1,0.25,0.18584070796460178
1,-1,-1,-1,0.25,0.18761061946902655
1,-1,-1,-1,0.25,0.18938053097345134
1,-1,-1,-1,0.25,0.1911504424778761
1,-1,-1,-1,0.25,0.1929203539823009
-1,-1,-1,-1,0.25,0.19469026548672566
-1,-1,-1,-1,0.25,0.19646017699115045
1,-1,-1,-1,0.25,0.19823008849557522
1,-1,-1,-1,0.25,0.2
1,-1,-1,-1,0.25,0.20176991150442478
1,-1,-1,-1,0.25,0.20353982300884957
1,-1,-1,-1,0.25,0.20530973451327433
1,-1,-1,-1,0.25,0.20707964601769913
1,-1,-1,-1,0.25,0.2088495575221239
1,-1,-1,-1,0.25,0.21061946902654868
1,-1,-1,-1,0.25,0.21238938053097345
1,-1,-1,-1,0.25,0.21415929203539824
1,-1,-1,-1,0.25,0.215929203539823
1,-1,-1,-1,0.25,0.2176991150442478
-1,-1,-1,-1,0.25,0.21946902654867256
1,-1,-1,-1,0.25,0.22123893805309736
1,-1,-1,-1,0.25,0.22300884955752212
1,-1,-1,-1,0.25,0.2247787610619469
1,-1,-1,-1,0.25,0.22654867256637168
1,-1,-1,-1,0.25,0.22831858407079647
1,-1,-1,-1,0.25,0.23008849557522124
-1,-1,-1,-1,0.25,0.23185840707964603
1,-1,-1,-1,0.25,0.2336283185840708
-1,-1,-1,-1,0.25,0.23539823008849559
1,-1,-1,-1,0.25,0.23716814159292035
1,-1,-1,-1,0.25,0.23893805309734514
1,-1,-1,-1,0.25,0.2407079646017699
1,-1,-1,-1,0.25,0.2424778761061947
-1,-1,-1,-1,0.25,0.24424778761061947
1,-1,-1,-1,0.25,0.24601769911504426
-1,-1,-1,-1,0.25,0.24778761061946902
1,-1,-1,-1,0.25,0.24955752212389382
1,-1,-1,-1,0.25,0.2513274336283186
1,-1,-1,-1,0.25,0.25309734513274335
1,-1,-1,-1,0.25,0.25486725663716814
-1,-1,-1,-1,0.25,0.25663716814159293
1,-1,-1,-1,0.25,0.2584070796460177
-1,-1,-1,-1,0.25,0.26017699115044246
1,-1,-1,-1,0.25,0.26194690265486725
1,-1,-1,-1,0.25,0.26371681415929205
1,-1,-1,-1,0.25,0.26548672566371684
1,-1,-1,1,1,0.2672566371681416
-1,-1,-1,1,1,0.26902654867256637
-1,1,-1,1,1,0.0
-1,1,-1,1,0.5,0.0017699115044247787
-1,1,-1,1,0.5,0.0035398230088495575
-1,1,-1,1,0.5,0.005309734513274336
-1,1,1,-1,0.5,0.007079646017699115
-1,1,1,-1,0.5,0.008849557522123894
-1,1,1,-1,0.75,0.010619469026548672
-1,1,1,-1,0.75,0.012389380530973451
-1,1,1,-1,0.75,0.01415929203539823
-1,1,1,-1,0.75,0.01592920353982301
1,-1,-1,-1,0.75,0.017699115044247787
1,-1,-1,-1,0.75,0.019469026548672566
1,-1,-1,-1,0.75,0.021238938053097345
1,-1,-1,-1,0.75,0.023008849557522124
1,-1,-1,-1,0.75,0.024778761061946902
1,-1,-1,-1,0.75,0.02654867256637168
1,-1,-1,-1,0.75,0.02831858407079646
1,-1,-1,-1,0.75,0.03008849557522124
1,-1,-1,-1,0.75,0.03185840707964602
1,-1,-1,-1,0.75,0.033628318584070796
1,-1,-1,-1,0.75,0.035398230088495575
1,-1,-1,-1,0.75,0.03716814159292035
1,-1,-1,-1,0.75,0.03893805309734513
1,-1,-1,-1,0.75,0.04070796460176991
1,-1,-1,-1,0.75,0.04247787610619469
1,-1,-1,-1,0.75,0.04424778761061947
1,-1,-1,-1,0.75,0.04601769911504425
1,-1,-1,1,0.25,0.047787610619469026
-1,-1,-1,1,0.25,0.049557522123893805
1,1,-1,1,0.25,0.05132743362831858
1,-1,-1,1,0.25,0.05309734513274336
1,-1,-1,1,0.25,0.05486725663716814
-1,-1,-1,1,0.25,0.05663716814159292
1,1,-1,1,0.25,0.0584070796460177
-1,-1,-1,1,0.25,0.06017699115044248
1,1,-1,1,0.25,0.061946902654867256
1,-1,-1,1,0.25,0.06371681415929203
1,-1,-1,1,0.25,0.06548672566371681
1,-1,-1,1,0.25,0.0
-1,-1,-1,1,0.25,0.0017699115044247787
1,1,-1,1,0.25,0.0035398230088495575
-1,-1,-1,1,0.25,0.005309734513274336
-1,1,-1,1,0.5,0.007079646017699115
-1,1,-1,1,0.5,0.008849557522123894
-1,1,-1,1,0.5,0.010619469026548672
-1,1,-1,1,1,0.012389380530973451
-1,1,-1,1,1,0.01415929203539823
1,1,-1,1,1,0.01592920353982301
1,-1,-1,1,0.25,0.017699115044247787
1,-1,-1,1,0.25,0.0
1,-1,-1,1,0.25,0.0017699115044247787
1,-1,-1,1,0.25,0.0035398230088495575
1,-1,-1,1,0.25,0.005309734513274336
1,-1,-1,1,0.25,0.007079646017699115
-1,-1,-1,1,0.25,0.008849557522123894
1,1,-1,1,0.25,0.010619469026548672
1,-1,-1,1,0.25,0.012389380530973451
1,-1,-1,1,0.25,0.01415929203539823
1,-1,-1,1,0.25,0.01592920353982301
1,-1,-1,1,0.25,0.017699115044247787
1,-1,-1,1,0.25,0.019469026548672566
1,-1,-1,1,0.25,0.021238938053097345
1,-1,-1,1,0.25,0.023008849557522124
1,-1,-1,1,0.25,0.024778761061946902
1,-1,-1,1,0.25,0.02654867256637168
1,-1,-1,1,0.25,0.02831858407079646
1,-1,-1,1,0.25,0.03008849557522124
1,-1,-1,1,0.25,0.03185840707964602
-1,-1,-1,1,0.25,0.033628318584070796
1,1,-1,1,0.25,0.035398230088495575
-1,-1,-1,1,1,0.03716814159292035
1,1,-1,1,1,0.03893805309734513
1,1,-1,1,1,0.04070796460176991
-1,1,-1,1,1,0.04247787610619469
1,1,-1,1,0.5,0.04424778761061947
1,1,-1,1,0.5,0.04601769911504425
1,1,-1,1,0.5,0.047787610619469026
1,1,-1,1,0.5,0.049557522123893805
1,1,-1,1,0.5,0.05132743362831858
1,1,-1,1,0.5,0.05309734513274336
1,1,-1,1,0.5,0.05486725663716814
1,1,-1,1,0.5,0.05663716814159292
1,1,-1,1,0.5,0.0584070796460177
1,1,-1,1,0.5,0.06017699115044248
1,1,-1,1,1,0.061946902654867256
-1,1,-1,1,1,0.06371681415929203
-1,1,-1,1,0.5,0.06548672566371681
-1,1,-1,1,0.5,0.06725663716814159
-1,1,1,1,1,0.06902654867256637
-1,1,-1,1,0.5,0.07079646017699115
-1,1,1,1,0.5,0.07256637168141593
-1,1,1,1,0.5,0.0743362831858407
-1,1,1,-1,0.5,0.07610619469026549
-1,1,1,-1,0.5,0.07787610619469026
-1,1,1,-1,0.5,0.07964601769911504
-1,1,1,-1,0.75,0.08141592920353982
-1,1,1,-1,0.75,0.0831858407079646
-1,-1,1,-1,0.75,0.08495575221238938
-1,-1,-1,-1,0.75,0.08672566371681416
-1,-1,-1,-1,0.75,0.08849557522123894
-1,-1,-1,1,0.25,0.09026548672566372
1,1,-1,1,0.25,0.0920353982300885
-1,-1,-1,1,0.25,0.09380530973451327
1,1,-1,1,0.25,0.09557522123893805
1,-1,-1,1,0.25,0.09734513274336283
-1,-1,-1,1,0.25,0.09911504424778761
1,1,-1,1,0.25,0.10088495575221239
1,-1,-1,1,0.25,0.10265486725663717
-1,-1,-1,1,0.25,0.10442477876106195
1,1,-1,1,0.25,0.10619469026548672
1,1,-1,1,0.25,0.1079646017699115
-1,1,-1,1,0.25,0.10973451327433628
1,1,-1,1,0.25,0.11150442477876106
1,-1,-1,1,0.25,0.11327433628318584
-1,-1,-1,1,0.25,0.11504424778761062
1,1,-1,1,0.25,0.1168141592920354
1,-1,-1,1,0.25,0.11858407079646018
-1,-1,-1,1,0.25,0.12035398230088495
1,1,-1,1,0.25,0.12212389380530973
1,-1,-1,1,0.25,0.12389380530973451
-1,-1,-1,1,0.25,0.1256637168141593
1,1,-1,1,0.25,0.12743362831858407
1,1,-1,1,0.25,0.12920353982300886
1,1,-1,1,0.25,0.13097345132743363
1,1,-1,1,0.25,0.13274336283185842
-1,1,-1,1,0.25,0.13451327433628318
1,1,-1,1,0.5,0.13628318584070798
-1,1,-1,1,0.25,0.13805309734513274
-1,1,-1,1,1,0.13982300884955753
1,1,-1,1,1,0.1415929203539823
1,1,-1,1,1,0.1433628318584071
-1,1,-1,-1,1,0.14513274336283186
-1,1,-1,-1,0.5,0.14690265486725665
-1,1,1,-1,0.5,0.1486725663716814
1,1,1,-1,0.75,0.1504424778761062
-1,1,1,-1,0.25,0.15221238938053097
1,1,-1,-1,0.25,0.15398230088495576
-1,-1,-1,-1,0.25,0.15575221238938053
1,1,-1,-1,0.25,0.15752212389380532
1,-1,-1,-1,0.25,0.1592920353982301
1,-1,-1,-1,0.25,0.16106194690265488
-1,-1,-1,-1,0.25,0.16283185840707964
1,1,-1,-1,0.75,0.16460176991150444
-1,1,-1,-1,0.25,0.1663716814159292
1,1,-1,-1,0.25,0.168141592920354
-1,-1,-1,-1,0.25,0.16991150442477876
1,1,-1,-1,0.75,0.17168141592920355
1,1,-1,-1,0.75,0.17345132743362832
-1,1,-1,-1,0.25,0.1752212389380531
-1,1,-1,-1,0.75,0.17699115044247787
1,1,-1,-1,0.25,0.17876106194690267
1,-1,-1,-1,0.75,0.18053097345132743
1,-1,-1,-1,0.75,0.18230088495575222
1,-1,-1,-1,0.75,0.184070796460177
1,-1,-1,-1,0.75,0.18584070796460178
1,-1,-1,-1,0.75,0.18761061946902655
1,-1,-1,-1,0.75,0.18938053097345134
1,-1,-1,-1,0.75,0.1911504424778761
